caldt,sprtrn
19860505,0.012522
19860506,-0.002061
19860507,-0.004890
19860508,0.004448
19860509,0.003036
19860512,-0.001135
19860513,-0.004925
19860514,0.004780
19860515,-0.013093
19860516,-0.007124
19860519,0.001890
19860520,0.012479
19860521,-0.002795
19860522,0.019834
19860523,0.005122
19860527,0.014087
19860528,0.007681
19860529,0.005474
19860530,-0.002541
19860602,-0.009339
19860603,0.001918
19860604,-0.006395
19860605,0.007010
19860606,0.000081
19860609,-0.023243
19860610,-0.001584
19860611,0.006470
19860612,0.001493
19860613,0.017558
19860616,0.001628
19860617,-0.007232
19860618,0.002619
19860619,-0.003796
19860620,0.014423
19860623,-0.009371
19860624,0.007217
19860625,0.007691
19860626,-0.000763
19860627,0.003457
19860630,0.004968
19860701,0.004784
19860702,0.002619
19860703,-0.003601
19860707,-0.030740
19860708,-0.010080
19860709,0.005091
19860710,0.000782
19860711,-0.003251
19860714,-0.016968
19860715,-0.018689
19860716,0.005778
19860717,0.004510
19860718,0.001228
19860721,-0.000508
19860722,0.008212
19860723,0.002057
19860724,-0.003017
19860725,0.009540
19860728,-0.017526
19860729,-0.006186
19860730,0.008698
19860731,-0.001987
19860801,-0.005125
19860804,0.004598
19860805,0.004407
19860806,-0.000802
19860807,0.000844
19860808,-0.000675
19860811,0.016042
19860812,0.011052
19860813,0.009575
19860814,0.002361
19860815,0.003655
19860818,0.000931
19860819,-0.003517
19860820,0.013225
19860821,-0.000400
19860822,0.002083
19860825,-0.009513
19860826,0.020298
19860827,0.001819
19860828,-0.001816
19860829,0.000356
19860902,-0.017436
19860903,0.006277
19860904,0.014995
19860905,-0.013237
19860908,-0.009303
19860909,-0.001894
19860910,-0.002463
19860911,-0.048085
19860912,-0.019177
19860915,0.005506
19860916,-0.000949
19860917,-0.000173
19860918,0.002719
19860919,-0.000430
19860922,0.011714
19860923,0.003150
19860924,0.002588
19860925,-0.018834
19860926,0.001725
19860929,-0.009990
19860930,0.006133
19861001,0.009856
19861002,0.001370
19861003,-0.000898
19861006,0.004578
19861007,-0.001576
19861008,0.009684
19861009,-0.003507
19861010,-0.001569
19861013,0.001826
19861014,-0.002289
19861015,0.014573
