gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
002998,000003,19640331,19861130,S&P 500 Comp-Ltd,I0003,CGG.1,167898105
001301,000003,19640331,19861231,S&P 500 Comp-Ltd,I0003,9174A,019519008
002827,000003,19640331,19870131,S&P 500 Comp-Ltd,I0003,CZ.1,150843100
008215,000003,19640331,19870228,S&P 500 Comp-Ltd,I0003,OI,690768403
009111,000003,19640331,19870430,S&P 500 Comp-Ltd,I0003,FA1,76168T005
006291,000003,19640331,19870531,S&P 500 Comp-Ltd,I0003,JOY.1,481206100
001517,000003,19640331,19870731,S&P 500 Comp-Ltd,I0003,AMO.1,027627108
002322,000003,19640331,19870731,S&P 500 Comp-Ltd,I0003,BOR.1,122374101
002661,000003,19640331,19870731,S&P 500 Comp-Ltd,I0003,CRK.1,134411107
004021,000003,19640331,19870731,S&P 500 Comp-Ltd,I0003,DM.2,257075101
002489,000003,19640331,19870831,S&P 500 Comp-Ltd,I0003,3BRLGQ,121693972
010320,000003,19640331,19870930,S&P 500 Comp-Ltd,I0003,TFB.,873635106
002110,000003,19640331,19871130,S&P 500 Comp-Ltd,I0003,5372C,055382931
009746,000003,19640331,19880131,S&P 500 Comp-Ltd,I0003,5573C,088774948
010066,000003,19640331,19880131,S&P 500 Comp-Ltd,I0003,STY.1,859264103
001567,000003,19640331,19880331,S&P 500 Comp-Ltd,I0003,TT.2,892893108
004611,000003,19640331,19880430,S&P 500 Comp-Ltd,I0003,M,55616P104
004672,000003,19640331,19880430,S&P 500 Comp-Ltd,I0003,FIR.1,318315108
010082,000003,19640331,19880430,S&P 500 Comp-Ltd,I0003,WPM1,860163005
007495,000003,19640331,19880630,S&P 500 Comp-Ltd,I0003,MOH.,608030102
006318,000003,19640331,19881031,S&P 500 Comp-Ltd,I0003,5854A,483102000
006920,000003,19640331,19881031,S&P 500 Comp-Ltd,I0003,MLL.2,554790105
001414,000003,19640331,19881130,S&P 500 Comp-Ltd,I0003,PRI,741587109
003746,000003,19640331,19881130,S&P 500 Comp-Ltd,I0003,MO3,500902002
009113,000003,19640331,19890131,S&P 500 Comp-Ltd,I0003,NGH.2,62952P102
002920,000003,19640331,19890430,S&P 500 Comp-Ltd,I0003,CHM.2,158663104
